N,T,pk,pm,fx
80,50,0.6,0.005,1.9572099999999997
30,50,0.65,0.005,1.8061900000000006
35,50,0.65,0.005,1.8512699999999997
40,50,0.65,0.005,1.8776299999999997
45,50,0.65,0.005,1.87963
50,50,0.65,0.005,1.9165500000000002
55,50,0.65,0.005,1.94064
60,50,0.65,0.005,1.9289399999999999
65,50,0.65,0.005,1.9270699999999996
70,50,0.65,0.005,1.9325899999999996
75,50,0.65,0.005,1.9629600000000003
80,50,0.65,0.005,1.9691300000000005
30,50,0.7,0.005,1.82673
35,50,0.7,0.005,1.83264
40,50,0.7,0.005,1.8793999999999997
45,50,0.7,0.005,1.9223699999999997
50,50,0.7,0.005,1.93782
55,50,0.7,0.005,1.9326799999999995
60,50,0.7,0.005,1.9445499999999993
65,50,0.7,0.005,1.9400300000000004
70,50,0.7,0.005,1.95199
75,50,0.7,0.005,1.9642899999999994
80,50,0.7,0.005,1.9683399999999998
30,50,0.75,0.005,1.8218199999999996
35,50,0.75,0.005,1.8532799999999998
40,50,0.75,0.005,1.8586000000000007
45,50,0.75,0.005,1.9192700000000003
50,50,0.75,0.005,1.92177
55,50,0.75,0.005,1.9315300000000002
60,50,0.75,0.005,1.9234199999999992
65,50,0.75,0.005,1.9572999999999998
70,50,0.75,0.005,1.9563599999999999
75,50,0.75,0.005,1.9561499999999996
80,50,0.75,0.005,1.97542
30,50,0.8,0.005,1.84291
35,50,0.8,0.005,1.83727
40,50,0.8,0.005,1.902150000000001
45,50,0.8,0.005,1.9069999999999998
50,50,0.8,0.005,1.91693
55,50,0.8,0.005,1.93071
60,50,0.8,0.005,1.9396499999999997
65,50,0.8,0.005,1.92772
70,50,0.8,0.005,1.95983
75,50,0.8,0.005,1.96677
80,50,0.8,0.005,1.97416
30,50,0.85,0.005,1.8516600000000003
35,50,0.85,0.005,1.8633700000000002
40,50,0.85,0.005,1.89939
45,50,0.85,0.005,1.8846799999999992
50,50,0.85,0.005,1.90344
55,50,0.85,0.005,1.9274299999999998
60,50,0.85,0.005,1.9298600000000001
65,50,0.85,0.005,1.9535799999999997
70,50,0.85,0.005,1.9493799999999997
75,50,0.85,0.005,1.9710299999999998
80,50,0.85,0.005,1.96979
30,50,0.9,0.005,1.8251400000000004
35,50,0.9,0.005,1.8477800000000002
40,50,0.9,0.005,1.87683
45,50,0.9,0.005,1.8855100000000002
50,50,0.9,0.005,1.9195100000000003
55,50,0.9,0.005,1.9490299999999998
60,50,0.9,0.005,1.9297399999999998
65,50,0.9,0.005,1.9673199999999995
70,50,0.9,0.005,1.9650099999999997
75,50,0.9,0.005,1.9673500000000002
80,50,0.9,0.005,1.9716099999999996
30,50,0.5,0.01,1.8423999999999998
35,50,0.5,0.01,1.8384699999999998
40,50,0.5,0.01,1.90927
45,50,0.5,0.01,1.9078900000000005
50,50,0.5,0.01,1.9327199999999995
55,50,0.5,0.01,1.9452399999999996
60,50,0.5,0.01,1.9399499999999998
65,50,0.5,0.01,1.9625200000000005
70,50,0.5,0.01,1.96417
75,50,0.5,0.01,1.9745999999999995
80,50,0.5,0.01,1.9690000000000003
30,50,0.55,0.01,1.8473300000000001
35,50,0.55,0.01,1.9124900000000002
40,50,0.55,0.01,1.8788799999999997
45,50,0.55,0.01,1.9264299999999996
50,50,0.55,0.01,1.96176
55,50,0.55,0.01,1.9413
60,50,0.55,0.01,1.953
65,50,0.55,0.01,1.9545599999999999
70,50,0.55,0.01,1.96708
75,50,0.55,0.01,1.97083
80,50,0.55,0.01,1.9682100000000002
30,50,0.6,0.01,1.84191
35,50,0.6,0.01,1.8863600000000003
40,50,0.6,0.01,1.9182399999999995
45,50,0.6,0.01,1.9109299999999994
50,50,0.6,0.01,1.9406200000000005
55,50,0.6,0.01,1.95011
60,50,0.6,0.01,1.9507700000000006
65,50,0.6,0.01,1.9697699999999998
70,50,0.6,0.01,1.9517800000000007
75,50,0.6,0.01,1.9592999999999998
80,50,0.6,0.01,1.9837
30,50,0.65,0.01,1.89541
35,50,0.65,0.01,1.9127399999999997
40,50,0.65,0.01,1.91346
45,50,0.65,0.01,1.9202599999999992
50,50,0.65,0.01,1.9460100000000002
55,50,0.65,0.01,1.9429999999999998
60,50,0.65,0.01,1.9426499999999993
65,50,0.65,0.01,1.95302
70,50,0.65,0.01,1.9700499999999999
75,50,0.65,0.01,1.9613799999999995
80,50,0.65,0.01,1.98214
30,50,0.7,0.01,1.87036
35,50,0.7,0.01,1.9016699999999995
40,50,0.7,0.01,1.9097699999999997
45,50,0.7,0.01,1.91803
50,50,0.7,0.01,1.9484799999999993
55,50,0.7,0.01,1.93719
60,50,0.7,0.01,1.95544
65,50,0.7,0.01,1.94666
70,50,0.7,0.01,1.9660300000000004
75,50,0.7,0.01,1.9649000000000003
80,50,0.7,0.01,1.96622
30,50,0.75,0.01,1.8789900000000004
35,50,0.75,0.01,1.8948299999999998
40,50,0.75,0.01,1.9178799999999998
45,50,0.75,0.01,1.9232900000000002
50,50,0.75,0.01,1.943740000000001
55,50,0.75,0.01,1.9583199999999996
60,50,0.75,0.01,1.9530400000000003
65,50,0.75,0.01,1.95961
70,50,0.75,0.01,1.96723
75,50,0.75,0.01,1.9705499999999998
80,50,0.75,0.01,1.9811899999999998
30,50,0.8,0.01,1.8631399999999994
35,50,0.8,0.01,1.8974899999999995
40,50,0.8,0.01,1.9215999999999998
45,50,0.8,0.01,1.92048
50,50,0.8,0.01,1.9420300000000004
55,50,0.8,0.01,1.9589399999999997
60,50,0.8,0.01,1.9684800000000002
65,50,0.8,0.01,1.9745399999999997
70,50,0.8,0.01,1.98017
75,50,0.8,0.01,1.98142
80,50,0.8,0.01,1.98868
30,50,0.85,0.01,1.8996199999999996
35,50,0.85,0.01,1.9134200000000001
40,50,0.85,0.01,1.9223099999999997
45,50,0.85,0.01,1.9278299999999995
50,50,0.85,0.01,1.9417600000000002
55,50,0.85,0.01,1.9549800000000004
60,50,0.85,0.01,1.96568
